Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,rsi,macd,ema,williams_r,roc,adx,shortName,sector,industry,marketCap,forwardPE,trailingPE,priceToBook,fiftyTwoWeekHigh,fiftyTwoWeekLow,dividendYield,returnOnEquity,earningsQuarterlyGrowth,grossMargins
2022-08-26 00:00:00-04:00,168.10990520235598,168.58297803338863,161.20099961189769,161.2601318359375,78961000,0.0,0.0,48.98881397453673,3.541880043403495,165.32284511455197,-97.13179149067452,-3.3207261613942443,32.20132710906012,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2022-08-29 00:00:00-04:00,158.82575088680454,160.55051089039753,157.514946518142,159.0524444580078,73314000,0.0,0.0,45.37522192864036,2.753715006674753,164.4867916936794,-90.4470324951706,-4.219839524420968,30.64305885392852,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2022-08-30 00:00:00-04:00,159.79164778477147,160.21543879278465,155.44524840968555,156.6180877685547,77906200,0.0,0.0,41.72074230532968,1.910631723393294,163.43763117032944,-93.54310971440916,-7.6641440436485,29.66460812016984,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2022-08-31 00:00:00-04:00,157.99786809208942,158.2639781293564,154.87359037905333,154.9524383544922,87991100,0.0,0.0,39.38349278606848,1.09545048866471,162.3062721282178,-99.57915897006148,-9.2211044046027,28.8824536135544,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2022-09-01 00:00:00-04:00,154.3808088580502,156.13513503517575,152.43922061054926,155.68177795410156,74229900,0.0,0.0,40.94358760333964,0.5024729025793704,161.42300623833563,-84.68337354188878,-8.709462647355174,28.673014125861325,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2022-09-02 00:00:00-04:00,157.44596671349123,158.04716944145756,152.734908630889,153.5627899169922,76957800,0.0,0.0,37.89222650915265,-0.1368729459187534,160.37497739548985,-94.69267940602332,-10.736167614883415,27.848573669577974,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2022-09-06 00:00:00-04:00,154.2132611313819,154.8243141649417,151.47335779942037,152.30123901367188,73714800,0.0,0.0,36.16421090058384,-0.7368616691275349,159.29847894458078,-96.26003060742306,-11.266148285746926,27.363573651812715,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2022-09-07 00:00:00-04:00,152.587059729615,154.410368411757,151.3945047755551,153.7106170654297,87449600,0.0,0.0,39.48446862527075,-1.086112001767674,158.5534306940273,-88.96192568368018,-9.071823173500722,26.93114896179028,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2022-09-08 00:00:00-04:00,152.4096506976959,154.10484460794962,150.47791285622748,152.2322540283203,84923800,0.0,0.0,37.29329593256976,-1.465295929141007,157.7106071385997,-91.54789276711372,-7.823611259964449,26.74481289549158,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2022-09-09 00:00:00-04:00,153.22765992863847,155.54377193244906,152.51804327379915,155.10025024414062,68028800,0.0,0.0,43.80816491580567,-1.516892801699754,157.36255955267185,-74.46936897115371,-5.896079772506008,26.03192676237612,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2022-09-12 00:00:00-04:00,157.28824820471496,161.8908915280311,157.0024374583422,161.07286071777344,104956000,0.0,0.0,54.42685633573288,-1.063583615047719,157.85726637468537,-41.480752718244375,-2.4473211222031304,24.84392959196374,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2022-09-13 00:00:00-04:00,157.59379629154282,158.2245651301224,151.15797805083207,151.62120056152344,122656600,0.0,0.0,41.168460026008326,-1.450284821844008,157.02579093293042,-93.6852604831372,-9.52182539122479,23.818621383964,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2022-09-14 00:00:00-04:00,152.5574420890309,154.83413736584612,151.394468562905,153.0699462890625,87965400,0.0,0.0,43.44269435904604,-1.6211589307058605,156.49834498041469,-85.68337972014166,-5.078865714439273,22.86654947653568,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
2022-09-15 00:00:00-04:00,152.41946216007065,153.00096396274333,149.19663651245492,150.17234802246094,90481100,0.0,0.0,40.10352653002973,-1.9677073514438348,155.6548787193542,-94.96701577782258,-5.583124777369487,22.45219778777636,Apple Inc.,Technology,Consumer Electronics,3194468958208,25.737665,33.314644,47.837173,260.1,169.21,0.49,1.38015,0.048,0.46632
